0	 17 	 17.00 	 17.00	 17
1	 12 	 14.50 	 14.50	 29
2	 10 	 13.00 	 13.00	 39
3	 10 	 12.25 	 12.25	 49
4	 13 	 12.40 	 12.40	 62
5	 9 	 11.83 	 11.83	 71
6	 19 	 12.86 	 12.86	 90
7	 41 	 16.38 	 16.38	 131
8	 11 	 15.78 	 15.78	 142
9	 8 	 15.00 	 15.00	 150
10	 17 	 15.18 	 15.18	 167
11	 11 	 14.83 	 14.83	 178
12	 21 	 15.31 	 15.31	 199
13	 17 	 15.43 	 15.43	 216
14	 12 	 15.20 	 15.20	 228
15	 26 	 15.88 	 15.88	 254
16	 12 	 15.65 	 15.65	 266
17	 13 	 15.50 	 15.50	 279
18	 46 	 17.11 	 17.11	 325
19	 10 	 16.75 	 16.75	 335
20	 24 	 17.10 	 17.10	 359
21	 11 	 16.82 	 16.82	 370
22	 26 	 17.22 	 17.22	 396
23	 31 	 17.79 	 17.79	 427
24	 35 	 18.48 	 18.48	 462
25	 16 	 18.38 	 18.38	 478
26	 18 	 18.37 	 18.37	 496
27	 41 	 19.18 	 19.18	 537
28	 19 	 19.17 	 19.17	 556
29	 12 	 18.93 	 18.93	 568
30	 31 	 19.32 	 19.32	 599
31	 11 	 19.06 	 19.06	 610
32	 12 	 18.85 	 18.85	 622
33	 18 	 18.82 	 18.82	 640
34	 15 	 18.71 	 18.71	 655
35	 16 	 18.64 	 18.64	 671
36	 20 	 18.68 	 18.68	 691
37	 27 	 18.89 	 18.89	 718
38	 16 	 18.82 	 18.82	 734
39	 15 	 18.73 	 18.73	 749
40	 18 	 18.71 	 18.71	 767
41	 21 	 18.76 	 18.76	 788
42	 13 	 18.63 	 18.63	 801
43	 53 	 19.41 	 19.41	 854
44	 45 	 19.98 	 19.98	 899
45	 12 	 19.80 	 19.80	 911
46	 13 	 19.66 	 19.66	 924
47	 20 	 19.67 	 19.67	 944
48	 21 	 19.69 	 19.69	 965
49	 22 	 19.74 	 19.74	 987
50	 36 	 20.06 	 20.06	 1023
51	 18 	 20.02 	 20.02	 1041
52	 22 	 20.06 	 20.06	 1063
53	 11 	 19.89 	 19.89	 1074
54	 14 	 19.78 	 19.78	 1088
55	 13 	 19.66 	 19.66	 1101
56	 12 	 19.53 	 19.53	 1113
57	 12 	 19.40 	 19.40	 1125
0	 19 	 19.00 	 19.00	 19
1	 49 	 34.00 	 34.00	 68
2	 22 	 30.00 	 30.00	 90
3	 10 	 25.00 	 25.00	 100
